topic_id,term0,term1,term2,term3,term4,term5,term6,term7,term8,term9
0,norge,fremskrittspartiet,land,regjeringen,barn,sv,kr,stortinget,pst,bedre
1,skolen,skole,utdanning,elever,elevene,forskning,lærere,videregående,statsråden,gjelder
2,kr,bompenger,statsråden,vei,representanten,veier,jernbane,senterpartiet,jernbanen,regjeringen
3,stortinget,statsråden,saken,forslag,forslaget,representanten,regjeringen,riksrevisjonen,nr,komiteen
4,helseministeren,sykehus,pasienter,pasientene,helseforetakene,behandling,sykehusene,statsråden,helse,helsevesenet
5,norge,flyktninger,asylsøkere,fremskrittspartiet,folk,representanten,statsråden,kirken,land,vet
6,gasskraftverk,energi,regjeringen,fornybar,gass,olje,statsråden,norge,kraft,co2rensing
7,kommunene,kommuner,kommunane,kommune,kommunar,eldreomsorgen,kommunesektoren,arbeiderpartiet,penger,eldre
8,mat,landbruk,landbruket,landbruksministeren,bøndene,drive,forbrukerne,ønsker,tror,bonden
9,arbeidslivet,jobb,pensjonsreformen,pensjonistene,folk,midlertidig,fremskrittspartiet,representanten,lønn,pensjonister
10,barn,barnevernet,barna,barns,foreldrene,foreldre,barnet,hjelp,saker,mindreårige
11,fisken,fisk,statsråden,fiskeriministeren,kysten,fiskerinæringen,fiskeri,anlegg,flåten,næringa
12,forsvaret,forsvarsministeren,statsråden,forsvarets,forsvar,stortinget,oversikt,sv,kr,olavsvern
13,klimaforliket,2020,utslippene,tonn,tiltak,statsministeren,mål,utsleppa,stortinget,regjeringen
14,finansministeren,økonomi,sentralbanksjefen,statsbudsjettet,regjeringen,pst,renten,milliarder,budsjettet,finansnæringen
15,bistand,land,bistanden,fattige,verden,afrika,fn,norge,landene,korrupsjon
16,folkeparti,kristelig,fremskrittspartiet,arbeiderpartiet,forslag,venstre,politikk,sv,kristeleg,høyre
17,barnevernet,barn,barnehagene,barnehager,barnehagedekning,private,barnehageplass,full,kommunene,opptak
18,skatt,finansministeren,formuesskatten,skattelette,formuesskatt,skatte,skattelettelser,tjener,dyrare,regjeringen
19,rovdyr,ulv,dyr,jerv,mattilsynet,statsråden,dyrene,hedmark,rovdyrene,ulver
20,statkraft,eierskap,selskapet,staten,statsråden,snd,eiere,invest,selskap,statoil
21,politiet,politi,politiets,justisministeren,politidirektoratet,statsråden,mellombels,kriminaliteten,spørsmål,politireformen
22,nrk,reklame,monopol,kino,kulturministeren,filmer,statsråden,avisene,tv,fjernsyn
23,kultur,kulturen,kulturministeren,museene,kunsten,statsråden,kulturmidler,kulturnorge,kulturlivet,bygningen
24,miljøvernministeren,statsråden,skogen,bioenergi,blyhagl,vern,svaret,natur,skog,km2
25,irak,krig,utenriksministeren,usa,afghanistan,statsministeren,saddam,folkeretten,israel,hussein
26,utmark,lokale,motsegn,statsråden,saken,motorferdsel,friluftsliv,ferdsel,lokaldemokratiet,lokalpolitikerne
27,far,foreldrene,fedre,barnet,menn,barn,kvinner,barna,likestilling,hjemme
28,boliger,husbanken,boligmarkedet,boligbyggingen,folk,bolig,bostedsløse,m2,bo,husbankens
29,biler,avgiftene,avgifter,bilpark,bilparken,kjører,engangsavgiften,kjøre,liter,bil
30,alkohol,øl,vin,alkoholpolitikk,sosialministeren,ungdom,1991,varer,grensehandelen,avgiftene
31,næringen,skipsfarten,næringslivet,maskinar,norge,bedrifter,rederiene,reiselivsnæringen,næringsliv,maritime
32,offentlig,skattedirektoratet,regjeringen,stiftelse,skatteloven,finansdepartementet,effektivisering,skjemaveldet,forenkle,elektronisk
33,fengsel,innsatte,fengslene,soningskøen,soning,fengselet,sikkerheten,skien,antallet,fengsler
34,oljevernberedskap,ulykken,slepebåtberedskap,statsråden,kysten,beredskap,spørsmål,olje,mill,tror
35,nato,natos,militære,operasjoner,montenegro,organisasjon,delta,norge,fn,tyrkia
36,vegne,stortingsrepresentantene,representantforslag,representantene,gleden,fremme,fremsette,framsette,finnerik,grunnloven
37,afghanistan,militære,krig,krigen,soldater,forsvarsministeren,sivile,soldatar,humanitære,sivil
38,fattige,regjeringen,fattigste,sosiale,overgangsstønaden,enslige,profilen,kristelig,sv,kuttes
39,personvernet,personvern,datalagringsdirektivet,datatilsynet,borgarane,overvåkning,direktivet,ytringsfriheten,personvernnemnda,datalagringsdirektiv
40,menn,vold,voldtekt,gjelder,livet,voldtektsmottak,ofre,overgrep,utsatt,velger
41,aetat,etatene,sørge,trygdeetaten,tiltakene,tiltak,handler,systemet,kart,arbeidslivet
42,industri,industrien,konkurranseutsatt,nord,oljeselskapene,forsking,omstilling,gode,næringa,skumsvoll
43,sosialministeren,transporten,nav,tolker,rimelig,vedkommende,svaret,spørsmål,begått,arbeidsmiljøloven
